,type,price,square_meter,location,rooms,link,created,fetched
51,Lejlighed,22400,146,"København, Nørrebrogade",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/146m2-4-vaer-id-5225087,I går,2022-03-30
52,Værelse,8250,32,"København, Stadens Vænge",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/32m2-1-vaer-id-5156399,I går,2022-03-30
53,Lejlighed,15600,108,"København, Gammel Køge Landevej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/108m2-4-vaer-id-4658601,I går,2022-03-30
54,Lejlighed,7450,33,"København, Hermodsgade",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/33m2-1-vaer-id-5268154,I går,2022-03-30
55,Lejlighed,11500,49,"København, Vesterfælledvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/49m2-1-vaer-id-3927817,I går,2022-03-30
56,Værelse,4200,14,"København, Mynstersvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/14m2-1-vaer-id-5268114,I går,2022-03-30
57,Lejlighed,12710,100,"København, Oldermandsvej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/100m2-4-vaer-id-5268129,I går,2022-03-30
58,Lejlighed,10000,80,"København, Frimestervej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/80m2-2-vaer-id-5268127,I går,2022-03-30
59,Værelse,3300,10,"København, Frederiksborgvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/10m2-1-vaer-id-4706188,I går,2022-03-30
60,Værelse,6000,14,"København, Poul Hartlings Gade",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/14m2-1-vaer-id-4862160,I går,2022-03-30
61,Lejlighed,7592,28,"København, Jorisvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5268099,I går,2022-03-30
62,Lejlighed,8515,47,"København, Jorisvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/47m2-1-vaer-id-5268098,I går,2022-03-30
63,Lejlighed,7797,28,"København, Jorisvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5268097,I går,2022-03-30
64,Lejlighed,7797,28,"København, Jorisvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5268096,I går,2022-03-30
65,Lejlighed,7695,28,"København, Jorisvej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5268095,I går,2022-03-30
66,Lejlighed,19995,136,"Rødovre, Nørregårdsbakken",5,www.boligportal.dk/lejligheder/r%C3%B8dovre/136m2-5-vaer-id-5267019,22. marts,2022-03-30
67,Lejlighed,17495,146,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/lejligheder/r%C3%B8dovre/146m2-4-vaer-id-5261554,23. februar,2022-03-30
68,Lejlighed,13800,88,"Søborg, Buddinge Hovedgade",3,www.boligportal.dk/lejligheder/s%C3%B8borg/88m2-3-vaer-id-5201072,3. marts,2022-03-30
69,Lejlighed,24500,191,"Hellerup, Gersonsvej",6,www.boligportal.dk/lejligheder/hellerup/191m2-6-vaer-id-5258482,8. februar,2022-03-30
70,Rækkehus,16995,150,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/r%C3%A6kkehuse/r%C3%B8dovre/150m2-4-vaer-id-5239317,8. november,2022-03-30
71,Lejlighed,6995,39,"Vanløse, Godthåbsvej",1,www.boligportal.dk/lejligheder/vanl%C3%B8se/39m2-1-vaer-id-5261843,24. februar,2022-03-30
